Time[s];Supply_P[bar];R1_P[bar];EPU_P[bar];T1_P[bar]
0.5690;10.0000;0.0000;0.0000;0.0000
0.5702;10.0000;0.0000;0.0000;0.0000
0.5715;10.0000;0.0000;0.0000;0.0000
0.5727;10.0000;0.0000;0.0000;0.0000
0.5740;10.0000;0.0000;0.0000;0.0000
0.5752;10.0000;0.0000;0.0000;0.0000
0.5765;10.0000;0.0000;0.0000;0.0000
0.5777;10.0000;0.0000;0.0000;0.0000
0.5790;10.0000;0.0000;0.0000;0.0000
0.5802;10.0000;0.0000;0.0000;0.0000
0.5815;10.0000;0.0000;0.0000;0.0000
0.5827;10.0000;0.0000;0.0000;0.0000
0.5840;10.0000;0.0000;0.0000;0.0000
0.5852;10.0000;0.0000;0.0000;0.0000
0.5865;10.0000;0.0000;0.0000;0.0000
0.5877;10.0000;0.0000;0.0000;0.0000
0.5890;10.0000;0.0000;0.0000;0.0000
0.5902;10.0000;0.0000;0.0000;0.0000
0.5915;10.0000;0.0000;0.0000;0.0000
0.5927;10.0000;0.0000;0.0000;0.0000
0.5940;10.0000;0.0000;0.0000;0.0000
0.5952;10.0000;0.0000;0.0000;0.0000
0.5965;10.0000;0.0000;0.0000;0.0000
0.5977;10.0000;0.0000;0.0000;0.0000
0.5990;10.0000;0.0000;0.0000;0.0000
0.6002;10.0000;0.0000;0.0000;0.0000
0.6015;10.0000;0.0000;0.0000;0.0000
0.6027;10.0000;0.0000;0.0000;0.0000
0.6040;10.0000;0.0000;0.0000;0.0000
0.6052;10.0000;0.0000;0.0000;0.0000
0.6065;10.0000;0.0000;0.0000;0.0000
0.6077;10.0000;0.0000;0.0000;0.0000
0.6090;10.0000;0.0000;0.0000;0.0000
0.6102;10.0000;0.0000;0.0000;0.0000
0.6115;10.0000;0.0000;0.0000;0.0000
0.6127;10.0000;0.0000;0.0000;0.0000
0.6140;10.0000;0.0000;0.0000;0.0000
0.6152;10.0000;0.0000;0.0000;0.0000
0.6165;10.0000;0.0000;0.0000;0.0000
0.6177;10.0000;0.0000;0.0000;0.0000
0.6190;10.0000;0.0000;0.0000;0.0000
0.6202;10.0000;0.0000;0.0000;0.0000
0.6215;10.0000;0.0000;0.0000;0.0000
0.6227;10.0000;0.0000;0.0000;0.0000
0.6240;10.0000;0.0000;0.0000;0.0000
0.6252;10.0000;0.0000;0.0000;0.0000
