Time[s];Supply_P[bar];EPU_P[bar];R1_P[bar];R2_P[bar];R3_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.2223;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2233;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2243;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2253;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2263;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2273;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2283;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2293;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2303;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2313;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2323;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2333;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2343;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2353;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2363;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2373;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2383;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2393;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2403;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2413;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2423;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2433;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2443;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2453;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2463;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2473;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2483;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2493;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2505;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2517;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2530;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2542;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2555;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2567;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2580;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2592;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2605;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2617;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2630;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2642;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2655;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2667;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2680;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2692;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2705;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2717;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2730;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2742;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2755;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2767;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2780;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2792;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2805;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2817;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2830;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
